geography,year,population
Alberta,1981,"2,319,715"
Alberta,1982,"2,378,405"
Alberta,1983,2394239
Alberta,1984,2390913
Alberta,1985,2407001
Alberta,1986,"2,429,949"
Alberta,1987,"2,437,537"
Alberta,1988,"2,465,242"
Alberta,1989,"2,507,203"
Alberta,1990,"2,563,142"
Alberta,1991,"2,604,031"
Alberta,1992,"2,643,421"
Alberta,1993,"2,678,623"
Alberta,1994,"2,709,011"
Alberta,1995,"2,745,255"
Alberta,1996,"2,789,691"
Alberta,1997,"2,847,526"
Alberta,1998,"2,915,781"
Alberta,1999,"2,966,682"
Alberta,2000,"3,016,947"
Alberta,2001,"3,078,336"
Alberta,2002,"3,144,926"
Alberta,2003,"3,197,858"
Alberta,2004,"3,260,590"
Alberta,2005,"3,346,754"
Alberta,2006,"3,453,944"
Alberta,2007,"3,533,413"
Alberta,2008,"3,619,292"
Alberta,2009,"3,694,303"
Alberta,2010,"3,747,226"
Alberta,2011,"3,807,726"
Alberta,2012,"3,900,333"
Alberta,2013,"4,010,903"
Alberta,2014,"4,106,056"
Alberta,2015,"4,159,519"
Alberta,2016,"4,208,958"
Alberta,2017,"4,258,195"
Alberta,2018,"4,317,665"
Alberta,2019,"4,384,982"
Alberta,2020,"4,424,557"
Alberta,2021,"4,464,170"
Alberta,2022,"4,480,486"
British Columbia ,1981,"2,845,212"
British Columbia ,1982,"2,885,875"
British Columbia ,1983,2919166
British Columbia ,1984,2956332
British Columbia ,1985,2984237
British Columbia ,1986,"3,015,876"
British Columbia ,1987,"3,068,995"
British Columbia ,1988,"3,141,854"
British Columbia ,1989,"3,229,220"
British Columbia ,1990,"3,322,896"
British Columbia ,1991,"3,404,049"
British Columbia ,1992,"3,502,209"
British Columbia ,1993,"3,601,746"
British Columbia ,1994,"3,711,468"
British Columbia ,1995,"3,805,461"
British Columbia ,1996,"3,899,256"
British Columbia ,1997,"3,964,677"
British Columbia ,1998,"3,990,451"
British Columbia ,1999,"4,021,600"
British Columbia ,2000,"4,049,297"
British Columbia ,2001,"4,085,648"
British Columbia ,2002,"4,108,400"
British Columbia ,2003,"4,134,638"
British Columbia ,2004,"4,167,810"
British Columbia ,2005,"4,212,666"
British Columbia ,2006,"4,258,655"
British Columbia ,2007,"4,312,042"
British Columbia ,2008,"4,371,124"
British Columbia ,2009,"4,431,576"
British Columbia ,2010,"4,483,609"
British Columbia ,2011,"4,525,684"
British Columbia ,2012,"4,590,545"
British Columbia ,2013,"4,658,875"
British Columbia ,2014,"4,737,725"
British Columbia ,2015,"4,802,955"
British Columbia ,2016,"4,884,002"
British Columbia ,2017,"4,956,550"
British Columbia ,2018,"5,040,353"
British Columbia ,2019,"5,130,251"
British Columbia ,2020,"5,156,587"
British Columbia ,2021,"5,249,635"
British Columbia ,2022,"5,264,485"
Canada,1981,"24,920,120"
Canada,1982,"25,193,538"
Canada,1983,25434150
Canada,1984,25677668
Canada,1985,25914797
Canada,1986,"26,187,639"
Canada,1987,"26,542,370"
Canada,1988,"26,932,655"
Canada,1989,"27,402,695"
Canada,1990,"27,807,591"
Canada,1991,"28,127,327"
Canada,1992,"28,474,177"
Canada,1993,"28,786,619"
Canada,1994,"29,096,372"
Canada,1995,"29,396,274"
Canada,1996,"29,708,206"
Canada,1997,"29,994,790"
Canada,1998,"30,231,639"
Canada,1999,"30,492,106"
Canada,2000,"30,783,969"
Canada,2001,"31,129,119"
Canada,2002,"31,451,764"
Canada,2003,"31,737,869"
Canada,2004,"32,039,959"
Canada,2005,"32,353,968"
Canada,2006,"32,680,712"
Canada,2007,"33,002,138"
Canada,2008,"33,372,418"
Canada,2009,"33,757,077"
Canada,2010,"34,131,683"
Canada,2011,"34,457,998"
Canada,2012,"34,836,008"
Canada,2013,"35,211,866"
Canada,2014,"35,559,047"
Canada,2015,"35,822,894"
Canada,2016,"36,258,726"
Canada,2017,"36,721,223"
Canada,2018,"37,250,385"
Canada,2019,"37,811,399"
Canada,2020,"38,033,014"
Canada,2021,"38,436,447"
Canada,2022,"38,526,760"
Manitoba       ,1981,"1,037,183"
Manitoba      ,1982,"1,049,816"
Manitoba      ,1983,1063952
Manitoba      ,1984,1075088
Manitoba      ,1985,1085016
Manitoba      ,1986,"1,092,636"
Manitoba      ,1987,"1,098,195"
Manitoba      ,1988,"1,101,074"
